NomScientifique,a_obs,b_obs,origine_obs,Taille_min_ratio,Taille_max_ratio,ratio_robuste,a_FB,b_FB,origine_FB,a_SIH,b_SIH,origine_SIH
Alosa alosa,23.999999999999993,NA,med,156.00000400000002,156.00000400000002,FALSE,0.00318,3.085,hors med,3.676e-6,3.217684,hors med
Alosa fallax,0.00310050368183203,3.284310745949882,med,136.999998,290,FALSE,NA,NA,NA,NA,NA,NA
Anguilla anguilla,NA,NA,NA,NA,NA,NA,3e-4,3.47,med,3.203e-6,2.851363,hors med
Anthias anthias,NA,NA,NA,NA,NA,NA,0.025,3.02,hors med,NA,NA,NA
Apogon imberbis,NA,NA,NA,NA,NA,NA,0.0093,3.2021,hors med,NA,NA,NA
Atherina hepsetus,NA,NA,NA,NA,NA,NA,0.0076,2.975,med,NA,NA,NA
Auxis rochei,NA,NA,NA,NA,NA,NA,0.0088,3.17,med,NA,NA,NA
Balistes capriscus,NA,NA,NA,NA,NA,NA,0.0678,2.429,med,NA,NA,NA
Belone belone,NA,NA,NA,NA,NA,NA,8e-4,3.1,med,NA,NA,NA
Boops boops,0.00803029555434923,3.0714135768190554,med,71.99999799999999,293.999996,TRUE,0.0119,2.9453,med,NA,NA,NA
Centrolabrus melanocercus,NA,NA,NA,NA,NA,NA,0.01675,2.9591000000000003,hors med,NA,NA,NA
Chelidonichthys cuculus,0.00586015146758234,3.155956402717135,med,68.00000200000001,375,TRUE,0.00561,3.169,hors med,5.61e-6,3.16882,hors med
Chelidonichthys lastoviza,0.01639023259465831,2.838201807426706,med,69.000001,263.999996,FALSE,0.0085,3.079,med,NA,NA,NA
Chelidonichthys lucerna,0.01203567235307969,2.9038260408447147,med,96.000004,470,FALSE,0.0135,2.851,med,5.61e-6,3.16882,hors med
Chelon auratus,0.00301834500116675,3.3031241885892726,med,245,385,FALSE,0.0181,2.952,med,NA,NA,NA
Chelon labrosus,NA,NA,NA,NA,NA,NA,0.0043,3.233,med,NA,NA,NA
Chelon ramada,0.02361318805156375,2.694413381924743,med,282.00000800000004,425,TRUE,0.0023,2.69,med,NA,NA,NA
Chromis chromis,NA,NA,NA,NA,NA,NA,0.0299,2.793,med,NA,NA,NA
Conger conger,2.102662070587834e-4,3.4890610987554616,med,270,1140,FALSE,6e-4,3.22,hors med,2.2e-7,3.509,hors med
Coris julis,NA,NA,NA,NA,NA,NA,0.00813,3.238,med,NA,NA,NA
Coryphaena hippurus,NA,NA,NA,NA,NA,NA,0.015,2.76,hors med,1.714e-5,2.836,hors med
Ctenolabrus rupestris,NA,NA,NA,NA,NA,NA,0.0123,3,hors med,NA,NA,NA
Dactylopterus volitans,NA,NA,NA,NA,NA,NA,0.00331,3.32,hors med,NA,NA,NA
Dasyatis pastinaca,NA,NA,NA,NA,NA,NA,0.0022,3.179,hors med,8.5e-6,2.938,med
Dentex dentex,NA,NA,NA,NA,NA,NA,0.0134,3.172,med,NA,NA,NA
Dicentrarchus labrax,0.0106675601463452,2.9588219628568666,med,280,370,FALSE,0.00938,3.146,med,9.6e-6,3.02,med
Diplodus annularis,0.02592237713148349,2.853290008238059,med,95,232.000008,TRUE,0.0377,2.6875,med,NA,NA,NA
Diplodus cervinus,NA,NA,NA,NA,NA,NA,0.0118,2.8502,med,NA,NA,NA
Diplodus puntazzo,NA,NA,NA,NA,NA,NA,0.058,2.5235,med,NA,NA,NA
Diplodus sargus,NA,NA,NA,NA,NA,NA,0.0143,3.048,med,NA,NA,NA
Diplodus vulgaris,0.01130577590727364,3.104236696765307,med,143.99999599999998,248,FALSE,0.0193,2.9063,med,NA,NA,NA
Echiichthys vipera,NA,NA,NA,NA,NA,NA,0.01291,2.947,hors med,NA,NA,NA
Engraulis encrasicolus,0.00399591003682289,3.168472962563629,med,25,170,TRUE,0.0039,3.16,med,3.35e-6,3.2275,med
Epinephelus aeneus,NA,NA,NA,NA,NA,NA,0.012,2.987,med,NA,NA,NA
Epinephelus marginatus,NA,NA,NA,NA,NA,NA,0.0116,3.065,med,NA,NA,NA
Euthynnus alletteratus,NA,NA,NA,NA,NA,NA,0.0065,3.153,hors med,NA,NA,NA
Eutrigla gurnardus,0.00898697664847887,2.9582222417796005,med,35,430,TRUE,0.00544,3.13,hors med,5.683e-6,3.1258765,hors med
Helicolenus dactylopterus,0.02124066066191061,2.91236893788354,med,32,410,TRUE,0.022,2.87,med,6.114e-6,3.273799,hors med
Hexanchus griseus,150000.00000000003,NA,med,2800,2800,FALSE,9e-4,3.342,med,1.35e-5,3,med
Katsuwonus pelamis,NA,NA,NA,NA,NA,NA,0.01779,3.018,hors med,NA,NA,NA
Labrus merula,NA,NA,NA,NA,NA,NA,0.0182,2.9685,hors med,NA,NA,NA
Labrus mixtus,NA,NA,NA,NA,NA,NA,0.005,3.257,hors med,NA,NA,NA
Labrus viridis,NA,NA,NA,NA,NA,NA,0.0238,2.8131,hors med,NA,NA,NA
Lepidion lepidion,0.00418092533583361,3.0817555145683926,med,79.000001,223.999996,TRUE,NA,NA,NA,NA,NA,NA
Lepidorhombus whiffiagonis,0.01262443732481581,2.8290051101314897,med,72,485.999985,FALSE,NA,NA,NA,NA,NA,NA
Lichia amia,NA,NA,NA,NA,NA,NA,0.01445,3.061,med,NA,NA,NA
Lithognathus mormyrus,NA,NA,NA,NA,NA,NA,0.02001,3.131,med,2.1375e-5,2.879449,hors med
Lophius piscatorius,0.02053788942384716,2.895215954885537,med,58.000002,1275,TRUE,0.0508,2.639,med,1.48e-5,2.9732,med
Merluccius merluccius,0.00431284134677601,3.172510875119895,med,40,675,TRUE,0.0046,3.152,med,6.9e-6,3.03,med
Mola mola,2.3559977243736325,2.0486668304613147,med,420,970,FALSE,0.0764,2.9,hors med,NA,NA,NA
Mugil cephalus,NA,NA,NA,NA,NA,NA,0.0039,3.232,med,NA,NA,NA
Mullus barbatus,0.00883679813938071,3.0704092745429943,med,53.000002,280,TRUE,0.0076,3.128,med,8.55e-6,3.057,med
Mullus surmuletus,0.00898909137770505,3.084929207403984,med,60.999999,345,TRUE,0.0082,3.11,med,1.82e-5,3,med
